number,id,country,Country__colour,location,locImputation,nonJitLat,nonJitLong,latitude,longitude,collection_date,dateImputation,year,month,day
384,EBOV|EM_079424|KR817189|GIN|Macenta|2014-03-27,GIN,#63a993,Macenta,,8.543101383,-9.476902898,8.53783726,-9.502075087,2014-03-27,,2014,3,27
385,EBOV|EM_079429|KR817190|GIN|Gueckedou|2014-04-02,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.531527553,-10.16802632,2014-04-02,,2014,4,2
386,EBOV|EM_079434|KR817191|GIN|Macenta|2014-04-02,GIN,#63a993,Macenta,,8.543101383,-9.476902898,8.585225358,-9.487402488,2014-04-02,,2014,4,2
387,EBOV|EM_079442|KR817192|GIN|Gueckedou|2014-04-03,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.517648261,-10.07887287,2014-04-03,,2014,4,3
388,EBOV|EM_079444|KR817193|GIN|Kissidougou|2014-04-02,GIN,#63a993,Kissidougou,,9.192794649,-10.10266143,9.191362256,-10.10734266,2014-04-02,,2014,4,2
389,EBOV|EM_079450|KR817194|LBR|?|2014-04-01,LBR,#de8461,Lofa,IMPUTED,7.868277285,-10.08041437,7.797628676,-10.0499603,2014-04-01,,2014,4,1
390,EBOV|EM_079464|KR817195|GIN|Macenta|2014-04-04,GIN,#63a993,Macenta,,8.543101383,-9.476902898,8.583207633,-9.444264084,2014-04-04,,2014,4,4
391,EBOV|EM_079497|KR817196|GIN|Gueckedou|2014-04-07,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.575846448,-10.062152,2014-04-07,,2014,4,7
392,EBOV|EM_079514|KR817197|GIN|Gueckedou|2014-04-10,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.627771619,-10.19460556,2014-04-10,,2014,4,10
393,EBOV|EM_079517|KR817198|GIN|Gueckedou|2014-04-11,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.597939236,-10.15841934,2014-04-11,,2014,4,11
394,EBOV|EM_079542|KR817199|GIN|Gueckedou|2014-04-12,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.630236322,-10.19756893,2014-04-12,,2014,4,12
395,EBOV|EM_079549|KR817200|GIN|Gueckedou|2014-04-13,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.496306032,-10.10929408,2014-04-13,,2014,4,13
396,EBOV|EM_079578|KR817201|GIN|Gueckedou|2014-04-18,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.504961613,-10.10945532,2014-04-18,,2014,4,18
397,EBOV|EM_079587|KR817202|GIN|Gueckedou|2014-04-22,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.573459221,-10.08642542,2014-04-22,,2014,4,22
398,EBOV|EM_079622|KR817203|GIN|Gueckedou|2014-04-28,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.564892644,-10.17498252,2014-04-28,,2014,4,28
399,EBOV|EM_079630|KR817204|GIN|Gueckedou|2014-05-01,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.551756385,-10.20016662,2014-05-01,,2014,5,1
400,EBOV|EM_079657|KR817205|GIN|Gueckedou|2014-05-07,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.536413541,-10.1771796,2014-05-07,,2014,5,7
401,EBOV|EM_079659|KR817206|GIN|Gueckedou|2014-05-07,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.607065562,-10.13351492,2014-05-07,,2014,5,7
402,EBOV|EM_079677|KR817207|GIN|Gueckedou|2014-05-10,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.56477319,-10.12613517,2014-05-10,,2014,5,10
403,EBOV|EM_079681|KR817208|GIN|Gueckedou|2014-05-11,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.576851434,-10.19904193,2014-05-11,,2014,5,11
404,EBOV|EM_079685|KR817209|GIN|Gueckedou|2014-05-11,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.534963339,-10.14029623,2014-05-11,,2014,5,11
405,EBOV|EM_079702|KR817210|GIN|Gueckedou|2014-05-14,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.620310485,-10.19923616,2014-05-14,,2014,5,14
406,EBOV|EM_079731|KR817211|GIN|Gueckedou|2014-05-18,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.552047899,-10.20577851,2014-05-18,,2014,5,18
407,EBOV|EM_079749|KR817212|GIN|Gueckedou|2014-05-21,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.556748918,-10.07091368,2014-05-21,,2014,5,21
408,EBOV|EM_079750|KR817213|GIN|Gueckedou|2014-05-21,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.513755497,-10.17879412,2014-05-21,,2014,5,21
409,EBOV|EM_079753|KR817214|GIN|Gueckedou|2014-05-22,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.556623062,-10.13362222,2014-05-22,,2014,5,22
410,EBOV|EM_079772|KR817215|GIN|Gueckedou|2014-05-24,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.593375482,-10.15326008,2014-05-24,,2014,5,24
411,EBOV|EM_079775|KR817216|GIN|Gueckedou|2014-05-24,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.629272235,-10.13332521,2014-05-24,,2014,5,24
412,EBOV|EM_079815|KR817217|GIN|Gueckedou|2014-05-28,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.583415788,-10.1871265,2014-05-28,,2014,5,28
413,EBOV|EM_079859|KR817218|GIN|Gueckedou|2014-06-01,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.622203311,-10.17239077,2014-06-01,,2014,6,1
414,EBOV|EM_079876|KR817219|GIN|Gueckedou|2014-06-05,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.484497253,-10.12015631,2014-06-05,,2014,6,5
415,EBOV|EM_079880|KR817220|GIN|Gueckedou|2014-06-05,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.575495311,-10.16434246,2014-06-05,,2014,6,5
416,EBOV|EM_079910|KR817221|GIN|Gueckedou|2014-06-09,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.50138163,-10.1842563,2014-06-09,,2014,6,9
417,EBOV|EM_079911|KR817222|GIN|Gueckedou|2014-06-09,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.633939412,-10.14878605,2014-06-09,,2014,6,9
418,EBOV|EM_079912|KR817223|GIN|Gueckedou|2014-06-09,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.57930821,-10.19910501,2014-06-09,,2014,6,9
419,EBOV|EM_079913|KR817224|GIN|Gueckedou|2014-06-09,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.583912198,-10.11901682,2014-06-09,,2014,6,9
420,EBOV|EM_079914|KR817225|GIN|Gueckedou|2014-06-10,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.555411851,-10.15935262,2014-06-10,,2014,6,10
421,EBOV|EM_079915|KR817226|GIN|Gueckedou|2014-06-10,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.595060889,-10.07884166,2014-06-10,,2014,6,10
422,EBOV|EM_079983|KR817227|SLE|Kailahun|2014-06-13,SLE,#8392b5,Kailahun,,7.990787947,-10.84492563,8.012816442,-10.90769177,2014-06-13,,2014,6,13
423,EBOV|EM_080003|KR817228|SLE|Kailahun|2014-06-14,SLE,#8392b5,Kailahun,,7.990787947,-10.84492563,7.958312078,-10.77153457,2014-06-14,,2014,6,14
424,EBOV|EM_080011|KR817229|SLE|Kailahun|2014-06-15,SLE,#8392b5,Kailahun,,7.990787947,-10.84492563,7.986160608,-10.89578891,2014-06-15,,2014,6,15
425,EBOV|EM_080063|KR817230|GIN|Gueckedou|2014-06-20,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.632512755,-10.13067085,2014-06-20,,2014,6,20
426,EBOV|EM_080064|KR817231|LBR|Lofa|2014-06-20,LBR,#de8461,Lofa,,7.868277285,-10.08041437,7.857992586,-10.11951493,2014-06-20,,2014,6,20
427,EBOV|EM_080065|KR817232|LBR|?|2014-06-20,LBR,#de8461,Montserrado,IMPUTED,6.307004459,-10.70279027,6.262679487,-10.65916217,2014-06-20,,2014,6,20
428,EBOV|EM_080066|KR817233|LBR|?|2014-06-20,LBR,#de8461,Lofa,IMPUTED,7.868277285,-10.08041437,7.891241783,-10.05959493,2014-06-20,,2014,6,20
429,EBOV|EM_080067|KR817234|LBR|?|2014-06-20,LBR,#de8461,Montserrado,IMPUTED,6.307004459,-10.70279027,6.262083994,-10.63871337,2014-06-20,,2014,6,20
430,EBOV|EM_080076|KR817235|GIN|Gueckedou|2014-06-22,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.515650595,-10.17245538,2014-06-22,,2014,6,22
431,EBOV|EM_080132|KR817236|SLE|Kailahun|2014-06-24,SLE,#8392b5,Kailahun,,7.990787947,-10.84492563,7.981871491,-10.77458233,2014-06-24,,2014,6,24
432,EBOV|EM_080141|KR817237|GIN|Gueckedou|2014-06-25,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.511394697,-10.07521183,2014-06-25,,2014,6,25
433,EBOV|EM_080165|KR817238|SLE|Kailahun|2014-06-26,SLE,#8392b5,Kailahun,,7.990787947,-10.84492563,8.051218878,-10.82125664,2014-06-26,,2014,6,26
434,EBOV|EM_080193|KR817239|LBR|?|2014-06-29,LBR,#de8461,Lofa,IMPUTED,7.868277285,-10.08041437,7.854327491,-10.02069798,2014-06-29,,2014,6,29
435,EBOV|EM_080213|KR817240|LBR|?|2014-07-03,LBR,#de8461,Lofa,IMPUTED,7.868277285,-10.08041437,7.924879482,-10.11988116,2014-07-03,,2014,7,3
436,EBOV|EM_080223|KR817241|LBR|?|2014-07-04,LBR,#de8461,Montserrado,IMPUTED,6.307004459,-10.70279027,6.247804037,-10.63801384,2014-07-04,,2014,7,4
437,EBOV|EM_080253|KR817242|GIN|Gueckedou|2014-07-10,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.565755313,-10.19967901,2014-07-10,,2014,7,10
438,EBOV|EM_080261|KR817243|LBR|Lofa|2014-07-12,LBR,#de8461,Lofa,,7.868277285,-10.08041437,7.884138298,-10.07547006,2014-07-12,,2014,7,12
439,EBOV|EM_080265|KR817244|SLE|Kailahun|2014-07-12,SLE,#8392b5,Kailahun,,7.990787947,-10.84492563,8.027015282,-10.77340467,2014-07-12,,2014,7,12
440,EBOV|EM_080269|KR817245|LBR|?|2014-07-12,LBR,#de8461,Montserrado,IMPUTED,6.307004459,-10.70279027,6.259134428,-10.7211434,2014-07-12,,2014,7,12
441,EBOV|Gueckedou-C05|KJ660348|GIN|Gueckedou|2014-03-19,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.595434196,-10.15846728,2014-03-19,,2014,3,19
442,EBOV|Gueckedou-C07|KJ660347|GIN|Gueckedou|2014-03-20,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.616300652,-10.19364756,2014-03-20,,2014,3,20
443,EBOV|Kissidougou-C15|KJ660346|GIN|Kissidougou|2014-03-17,GIN,#63a993,Kissidougou,,9.192794649,-10.10266143,9.174964327,-10.15574655,2014-03-17,,2014,3,17
444,EBOV|Goderich1|KT345616|SLE|WesternUrban|2015-02-19,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.482078232,-13.32349281,2015-02-19,,2015,2,19
445,EBOV|Makona-Italy-INMI1|KP701371|SLE|WesternArea|2014-11-25,SLE,#8392b5,WesternRural,IMPUTED,8.44632216,-13.16852491,8.429104527,-13.17097664,2014-11-25,,2014,11,25
446,EBOV|1027|KR534577|GIN|Conakry|2014-09-18,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.622258576,-13.59318062,2014-09-18,,2014,9,18
447,EBOV|1039|KR534578|GIN|Conakry|2014-09-19,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.582717875,-13.62926187,2014-09-19,,2014,9,19
448,EBOV|1043|KR534527|GIN|Conakry|2014-09-19,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.635877096,-13.58596284,2014-09-19,,2014,9,19
449,EBOV|1047|KR534528|GIN|Kindia|2014-09-20,GIN,#63a993,Kindia,,10.04971513,-12.856038,10.10724535,-12.89314392,2014-09-20,,2014,9,20
450,EBOV|1059|KR534529|GIN|Conakry|2014-09-21,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.649827861,-13.52676934,2014-09-21,,2014,9,21
451,EBOV|1063|KR534530|GIN|Coyah|2014-09-21,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.768749055,-13.43247811,2014-09-21,,2014,9,21
452,EBOV|1069|KR534531|GIN|Forecariah|2014-09-21,GIN,#63a993,Forecariah,,9.431778161,-13.08275123,9.403429505,-13.14497036,2014-09-21,,2014,9,21
453,EBOV|1081|KR534532|GIN|Conakry|2014-09-22,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.594407743,-13.63559118,2014-09-22,,2014,9,22
454,EBOV|1100||GIN|Conakry|2014-09-23,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.64105102,-13.53775964,2014-09-23,,2014,9,23
455,EBOV|1104|KR534533|GIN|Dalaba|2014-09-24,GIN,#63a993,Dalaba,,10.91422773,-12.14267291,10.90570972,-12.15667675,2014-09-24,,2014,9,24
456,EBOV|1105|KR534579|GIN|Conakry|2014-09-24,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.607293338,-13.52861324,2014-09-24,,2014,9,24
457,EBOV|1116|KR534534|GIN|Dalaba|2014-09-24,GIN,#63a993,Dalaba,,10.91422773,-12.14267291,10.90690507,-12.21318345,2014-09-24,,2014,9,24
458,EBOV|1120|KR534535|GIN|Conakry|2014-09-25,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.566635234,-13.50255008,2014-09-25,,2014,9,25
459,EBOV|1121|KR534536|GIN|Conakry|2014-09-25,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.591365203,-13.62166811,2014-09-25,,2014,9,25
460,EBOV|1128|KR534580|GIN|Conakry|2014-09-25,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.682438674,-13.58041608,2014-09-25,,2014,9,25
461,EBOV|1129|KR534581|GIN|Conakry|2014-09-25,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.672237595,-13.55169767,2014-09-25,,2014,9,25
462,EBOV|1149|KR534582|GIN|Conakry|2014-09-27,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.554357248,-13.54511022,2014-09-27,,2014,9,27
463,EBOV|1193|KR534537|GIN|Conakry|2014-09-28,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.624286574,-13.52350727,2014-09-28,,2014,9,28
464,EBOV|1205|KR534538|GIN|Conakry|2014-10-02,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.60591576,-13.62834135,2014-10-02,,2014,10,2
465,EBOV|1210|KR534539|GIN|Conakry|2014-10-02,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.677489444,-13.64135964,2014-10-02,,2014,10,2
466,EBOV|1211|KR534540|GIN|Dalaba|2014-10-02,GIN,#63a993,Dalaba,,10.91422773,-12.14267291,10.91806497,-12.1206499,2014-10-02,,2014,10,2
467,EBOV|1213|KR534583|GIN|Conakry|2014-10-02,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.565722074,-13.61070975,2014-10-02,,2014,10,2
468,EBOV|1215|KR534584|GIN|Conakry|2014-10-02,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.596329859,-13.59026125,2014-10-02,,2014,10,2
469,EBOV|1249|KR534541|GIN|Conakry|2014-10-04,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.696949163,-13.54864087,2014-10-04,,2014,10,4
470,EBOV|1250|KR534585|GIN|Conakry|2014-10-04,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.6032501,-13.56032356,2014-10-04,,2014,10,4
471,EBOV|1274|KR534542|GIN|Coyah|2014-10-04,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.692599805,-13.3705064,2014-10-04,,2014,10,4
472,EBOV|1277|KR534543|GIN|Coyah|2014-10-04,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.650473971,-13.33328282,2014-10-04,,2014,10,4
473,EBOV|1278|KR534544|GIN|Coyah|2014-10-04,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.674054163,-13.32405648,2014-10-04,,2014,10,4
474,EBOV|1279|KR534589|GIN|Coyah|2014-10-04,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.637814032,-13.32907516,2014-10-04,,2014,10,4
475,EBOV|1283||GIN|Coyah|2014-10-04,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.701642079,-13.43808953,2014-10-04,,2014,10,4
476,EBOV|1298|KR534545|GIN|Conakry|2014-10-06,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.674989315,-13.4969277,2014-10-06,,2014,10,6
477,EBOV|1316|KR534546|GIN|Coyah|2014-10-07,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.665357769,-13.37727135,2014-10-07,,2014,10,7
478,EBOV|1320|KR534590|GIN|Coyah|2014-10-07,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.696634077,-13.43602559,2014-10-07,,2014,10,7
479,EBOV|1321|KR534547|GIN|Coyah|2014-10-07,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.689527597,-13.33801399,2014-10-07,,2014,10,7
480,EBOV|1327|KR534591|GIN|Coyah|2014-10-07,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.637742174,-13.37189009,2014-10-07,,2014,10,7
481,EBOV|1331|KR534548|GIN|Kerouane|2014-10-07,GIN,#63a993,Kerouane,,9.223120668,-9.300182897,9.240955443,-9.291774587,2014-10-07,,2014,10,7
482,EBOV|1333|KR534549|GIN|Coyah|2014-10-07,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.718513778,-13.37229408,2014-10-07,,2014,10,7
483,EBOV|1339|KR534550|GIN|Coyah|2014-10-08,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.705674032,-13.43386068,2014-10-08,,2014,10,8
484,EBOV|1340|KR534551|GIN|Conakry|2014-10-08,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.594370134,-13.58085867,2014-10-08,,2014,10,8
485,EBOV|1341||GIN|Coyah|2014-10-08,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.70101327,-13.44863214,2014-10-08,,2014,10,8
486,EBOV|1342|KR534552|GIN|Conakry|2014-10-08,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.570043579,-13.60087872,2014-10-08,,2014,10,8
487,EBOV|1355|KR534553|GIN|Coyah|2014-10-09,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.76818026,-13.32806894,2014-10-09,,2014,10,9
488,EBOV|1365|KR534554|GIN|Forecariah|2014-10-09,GIN,#63a993,Forecariah,,9.431778161,-13.08275123,9.505968905,-13.07843382,2014-10-09,,2014,10,9
489,EBOV|1371|KR534555|GIN|Conakry|2014-10-10,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.568409798,-13.50870926,2014-10-10,,2014,10,10
490,EBOV|1374|KR534556|GIN|Coyah|2014-10-10,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.783173868,-13.41559012,2014-10-10,,2014,10,10
491,EBOV|1394|KR534557|GIN|Coyah|2014-10-11,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.683211388,-13.45390752,2014-10-11,,2014,10,11
492,EBOV|1436|KR534558|GIN|Coyah|2014-10-13,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.679105768,-13.3426291,2014-10-13,,2014,10,13
493,EBOV|1445|KR534559|GIN|Conakry|2014-10-14,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.637033496,-13.59127615,2014-10-14,,2014,10,14
494,EBOV|1454|KR534560|GIN|Conakry|2014-10-14,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.676956863,-13.52537666,2014-10-14,,2014,10,14
495,EBOV|1480|KR534561|GIN|Conakry|2014-10-15,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.57910066,-13.5220669,2014-10-15,,2014,10,15
496,EBOV|1481|KR534575|GIN|Conakry|2014-10-15,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.604067935,-13.61034942,2014-10-15,,2014,10,15
497,EBOV|1491|KR534576|GIN|Conakry|2014-10-16,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.64403259,-13.59149259,2014-10-16,,2014,10,16
498,EBOV|1551|KR534562|GIN|Conakry|2014-10-18,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.69599033,-13.5819869,2014-10-18,,2014,10,18
499,EBOV|1561|KR534563|GIN|Conakry|2014-10-19,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.693325171,-13.60296027,2014-10-19,,2014,10,19
500,EBOV|1567|KR534564|GIN|Forecariah|2014-10-18,GIN,#63a993,Forecariah,,9.431778161,-13.08275123,9.488854282,-13.13427452,2014-10-18,,2014,10,18
501,EBOV|1568|KR534565|GIN|Forecariah|2014-10-18,GIN,#63a993,Forecariah,,9.431778161,-13.08275123,9.390596214,-13.11739953,2014-10-18,,2014,10,18
502,EBOV|1571|KR534566|GIN|Forecariah|2014-10-20,GIN,#63a993,Forecariah,,9.431778161,-13.08275123,9.429556787,-13.0726691,2014-10-20,,2014,10,20
503,EBOV|1622|KR534567|GIN|Nzerekore|2014-10-22,GIN,#63a993,Nzerekore,,7.75335666,-8.816404073,7.746138438,-8.828079843,2014-10-22,,2014,10,22
504,EBOV|1623|KR534568|GIN|Forecariah|2014-10-24,GIN,#63a993,Forecariah,,9.431778161,-13.08275123,9.368417402,-13.03877535,2014-10-24,,2014,10,24
505,EBOV|1648|KR534569|GIN|Kindia|2014-10-23,GIN,#63a993,Kindia,,10.04971513,-12.856038,10.02453271,-12.81108211,2014-10-23,,2014,10,23
506,EBOV|1651|KR534570|GIN|Conakry|2014-10-24,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.554145127,-13.55826742,2014-10-24,,2014,10,24
507,EBOV|1652|KR534571|GIN|Coyah|2014-10-24,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.680395467,-13.35864266,2014-10-24,,2014,10,24
508,EBOV|1686|KR534572|GIN|Coyah|2014-10-24,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.767451555,-13.36455196,2014-10-24,,2014,10,24
509,EBOV|1689|KR534573|GIN|Coyah|2014-10-25,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.778446699,-13.32927141,2014-10-25,,2014,10,25
510,EBOV|1690|KR534574|GIN|Coyah|2014-10-25,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.660015663,-13.42646597,2014-10-25,,2014,10,25
511,EBOV|505|KR534507|GIN|Conakry|2014-07-24,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.603345829,-13.50961382,2014-07-24,,2014,7,24
512,EBOV|507|KR534586|GIN|Conakry|2014-07-24,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.681729028,-13.59404908,2014-07-24,,2014,7,24
513,EBOV|509|KR534508|GIN|Conakry|2014-07-24,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.663726203,-13.63489223,2014-07-24,,2014,7,24
514,EBOV|517|KR534509|GIN|Siguiri|2014-07-24,GIN,#63a993,Siguiri,,11.41472508,-9.176967395,11.39801452,-9.197985104,2014-07-24,,2014,7,24
515,EBOV|531|KR534510|GIN|Kouroussa|2014-07-27,GIN,#63a993,Kouroussa,,10.64791979,-9.875480262,10.69439164,-9.927925324,2014-07-27,,2014,7,27
516,EBOV|573|KR534511|GIN|Conakry|2014-08-02,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.660633286,-13.55837033,2014-08-02,,2014,8,2
517,EBOV|653|KR534514|GIN|Conakry|2014-08-15,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.659397473,-13.52912106,2014-08-15,,2014,8,15
518,EBOV|657|KR534515|GIN|Conakry|2014-08-16,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.629800798,-13.62187016,2014-08-16,,2014,8,16
519,EBOV|678|KR534516|GIN|Conakry|2014-08-19,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.65194073,-13.55482013,2014-08-19,,2014,8,19
520,EBOV|684|KR534517|GIN|Conakry|2014-08-20,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.588877105,-13.59468641,2014-08-20,,2014,8,20
521,EBOV|691|KR534518|GIN|Conakry|2014-08-21,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.559484715,-13.57263857,2014-08-21,,2014,8,21
522,EBOV|701|KR534519|GIN|Conakry|2014-08-22,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.64838683,-13.51658478,2014-08-22,,2014,8,22
523,EBOV|740|KR534520|GIN|Conakry|2014-08-26,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.645973186,-13.49960165,2014-08-26,,2014,8,26
524,EBOV|742|KR534587|GIN|Conakry|2014-08-26,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.573990266,-13.52562753,2014-08-26,,2014,8,26
525,EBOV|768|KR534588|GIN|Conakry|2014-08-27,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.666476341,-13.57471847,2014-08-27,,2014,8,27
526,EBOV|786|KR534521|GIN|Conakry|2014-08-28,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.670690842,-13.51932895,2014-08-28,,2014,8,28
527,EBOV|787|KR534522|GIN|Conakry|2014-08-28,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.633224331,-13.6433783,2014-08-28,,2014,8,28
528,EBOV|789|KR534523|GIN|Dubreka|2014-08-29,GIN,#63a993,Dubreka,,10.07994391,-13.62517021,10.12597692,-13.57692795,2014-08-29,,2014,8,29
529,EBOV|955|KR534524|GIN|Coyah|2014-09-11,GIN,#63a993,Coyah,,9.70940694,-13.38757886,9.679924821,-13.37034966,2014-09-11,,2014,9,11
530,EBOV|976|KR534525|GIN|Conakry|2014-09-14,GIN,#63a993,Conakry,,9.626656367,-13.57153701,9.672429063,-13.51084605,2014-09-14,,2014,9,14
531,EBOV|989|KR534526|GIN|Forecariah|2014-09-15,GIN,#63a993,Forecariah,,9.431778161,-13.08275123,9.448914158,-13.11951906,2014-09-15,,2014,9,15
532,EBOV|Conakry_633|KR534512|GIN|Gueckedou|2014-08-12,GIN,#63a993,Gueckedou,,8.559404059,-10.13096634,8.62593819,-10.11317702,2014-08-12,,2014,8,12
533,EBOV|Conakry_645|KR534513|GIN|Macenta|2014-08-14,GIN,#63a993,Macenta,,8.543101383,-9.476902898,8.601260694,-9.423199346,2014-08-14,,2014,8,14
534,EBOV|Makona-Mali-DPR1|KP260799|GIN|?|2014-10-23,GIN,#63a993,Beyla,IMPUTED,8.87167806,-8.267125901,8.927783009,-8.27349108,2014-10-23,,2014,10,23
535,EBOV|Makona-Mali-DPR2|KP260800|GIN|?|2014-11-12,GIN,#63a993,Beyla,IMPUTED,8.87167806,-8.267125901,8.89049629,-8.238521471,2014-11-12,,2014,11,12
536,EBOV|Makona-UK1_1|KP184503|SLE|Kenema|2014-08-25,SLE,#8392b5,Kenema,,7.858614095,-11.18956765,7.790769083,-11.23125139,2014-08-25,,2014,8,25
537,EBOV|Makona-UK2|KP658432|SLE|WesternArea|2014-12-29,SLE,#8392b5,WesternUrban,IMPUTED,8.474419624,-13.26196681,8.477055123,-13.27788617,2014-12-29,,2014,12,29
