number,id,country,Country__colour,location,locImputation,nonJitLat,nonJitLong,latitude,longitude,collection_date,dateImputation,year,month,day
31,EBOV|20141288|KR653232|SLE|PortLoko|2014-09-23,SLE,#8392b5,PortLoko,,8.685188747,-12.53675216,8.737344469,-12.46695211,2014-09-23,,2014,9,23
32,EBOV|20141352|KR653284|SLE|Kambia|2014-09-26,SLE,#8392b5,Kambia,,9.123358448,-12.91835852,9.092912435,-12.9711079,2014-09-26,,2014,9,26
33,EBOV|20141397|KR653288|SLE|Moyamba|2014-09-28,SLE,#8392b5,Moyamba,,8.110964229,-12.07306903,8.099531729,-12.03449961,2014-09-28,,2014,9,28
34,EBOV|20141429|KR653260|SLE|Kono|2014-09-28,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.652560047,-10.9021502,2014-09-28,,2014,9,28
35,EBOV|20141491|KR653289|SLE|Kambia|2014-10-01,SLE,#8392b5,Kambia,,9.123358448,-12.91835852,9.128043258,-12.84379197,2014-10-01,,2014,10,1
36,EBOV|20141497|KR653273|SLE|Bombali|2014-10-01,SLE,#8392b5,Bombali,,8.891023958,-12.04188912,8.922719892,-12.08115788,2014-10-01,,2014,10,1
37,EBOV|20141582|KR653230|SLE|Bo|2014-10-04,SLE,#8392b5,Bo,,7.958802893,-11.736966,8.018591449,-11.77177804,2014-10-04,IMPUTED,2014,10,4
38,EBOV|20141643|KR653233|SLE|Pujehun|2014-10-04,SLE,#8392b5,Pujehun,,7.355845654,-11.72051726,7.323736882,-11.67901295,2014-10-04,,2014,10,4
39,EBOV|20141650|KR653225|SLE|Kenema|2014-10-05,SLE,#8392b5,Kenema,,7.858614095,-11.18956765,7.87646868,-11.16187379,2014-10-05,,2014,10,5
40,EBOV|20141960|KR653283|SLE|Tonkolili|2014-10-09,SLE,#8392b5,Tonkolili,,8.465489914,-12.21193614,8.452189658,-12.24716269,2014-10-09,,2014,10,9
41,EBOV|20141997|KR653293|SLE|Kono|2014-10-10,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.698154098,-10.94110822,2014-10-10,,2014,10,10
42,EBOV|20142065|KR653274|SLE|Kenema|2014-10-11,SLE,#8392b5,Kenema,,7.858614095,-11.18956765,7.792329496,-11.15364942,2014-10-11,,2014,10,11
43,EBOV|20142127|KR653234|SLE|Bombali|2014-10-12,SLE,#8392b5,Bombali,,8.891023958,-12.04188912,8.896142316,-12.1018736,2014-10-12,,2014,10,12
44,EBOV|20142260|KR653262|SLE|Bombali|2014-10-14,SLE,#8392b5,Bombali,,8.891023958,-12.04188912,8.874458285,-12.11089869,2014-10-14,,2014,10,14
45,EBOV|20142407|KR653249|SLE|Tonkolili|2014-10-16,SLE,#8392b5,Tonkolili,,8.465489914,-12.21193614,8.50093079,-12.26063796,2014-10-16,,2014,10,16
46,EBOV|20142417|KR653254|SLE|Bo|2014-10-19,SLE,#8392b5,Bo,,7.958802893,-11.736966,7.904604085,-11.66856607,2014-10-19,IMPUTED,2014,10,19
47,EBOV|20142477|KR653255|SLE|Moyamba|2014-10-19,SLE,#8392b5,Moyamba,,8.110964229,-12.07306903,8.151512891,-12.04316239,2014-10-19,,2014,10,19
48,EBOV|20142551|KR653226|SLE|Koinadugu|2014-10-23,SLE,#8392b5,Koinadugu,,9.588223678,-11.55221977,9.590005818,-11.61630515,2014-10-23,IMPUTED,2014,10,23
49,EBOV|20142843|KR653301|SLE|Bombali|2014-10-23,SLE,#8392b5,Bombali,,8.891023958,-12.04188912,8.860199421,-11.99446744,2014-10-23,,2014,10,23
50,EBOV|20142856|KR653302|SLE|Tonkolili|2014-10-24,SLE,#8392b5,Tonkolili,,8.465489914,-12.21193614,8.50015,-12.17500913,2014-10-24,IMPUTED,2014,10,24
51,EBOV|20142895|KR653268|SLE|Koinadugu|2014-10-24,SLE,#8392b5,Koinadugu,,9.588223678,-11.55221977,9.535771102,-11.51804399,2014-10-24,,2014,10,24
52,EBOV|20143018|KR653272|SLE|WesternUrban|2014-10-26,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.529588144,-13.29697285,2014-10-26,,2014,10,26
53,EBOV|20143031|KR653275|SLE|WesternUrban|2014-10-25,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.510793062,-13.31770068,2014-10-25,,2014,10,25
54,EBOV|20143036|KR653285|SLE|PortLoko|2014-10-24,SLE,#8392b5,PortLoko,,8.685188747,-12.53675216,8.623758102,-12.55394499,2014-10-24,,2014,10,24
55,EBOV|20143107|KR653247|SLE|Bombali|2014-10-25,SLE,#8392b5,Bombali,,8.891023958,-12.04188912,8.909699055,-12.00847963,2014-10-25,,2014,10,25
56,EBOV|20143164|KR653277|SLE|Kenema|2014-10-27,SLE,#8392b5,Kenema,,7.858614095,-11.18956765,7.825073254,-11.16426179,2014-10-27,,2014,10,27
57,EBOV|20143187|KR653298|SLE|Pujehun|2014-10-28,SLE,#8392b5,Pujehun,,7.355845654,-11.72051726,7.392162503,-11.67138597,2014-10-28,,2014,10,28
58,EBOV|20143317|KR653282|SLE|Bombali|2014-10-29,SLE,#8392b5,Bombali,,8.891023958,-12.04188912,8.903595391,-12.08187421,2014-10-29,,2014,10,29
59,EBOV|20143360|KR653258|SLE|Kenema|2014-10-30,SLE,#8392b5,Kenema,,7.858614095,-11.18956765,7.844975084,-11.12069891,2014-10-30,,2014,10,30
60,EBOV|20143415|KR653248|SLE|WesternRural|2014-10-31,SLE,#8392b5,WesternRural,,8.44632216,-13.16852491,8.38834064,-13.17901854,2014-10-31,,2014,10,31
61,EBOV|20143458|KR653245|SLE|Tonkolili|2014-11-01,SLE,#8392b5,Tonkolili,,8.465489914,-12.21193614,8.43057659,-12.1952578,2014-11-01,,2014,11,1
62,EBOV|20143466|KR653304|SLE|Kenema|2014-11-01,SLE,#8392b5,Kenema,,7.858614095,-11.18956765,7.870680715,-11.22766179,2014-11-01,,2014,11,1
63,EBOV|20143550|KR653228|SLE|Bombali|2014-11-01,SLE,#8392b5,Bombali,,8.891023958,-12.04188912,8.860743706,-11.97024354,2014-11-01,IMPUTED,2014,11,1
64,EBOV|20143648|KR653253|SLE|Koinadugu|2014-11-03,SLE,#8392b5,Koinadugu,,9.588223678,-11.55221977,9.557276515,-11.57695205,2014-11-03,,2014,11,3
65,EBOV|20143659|KR653256|SLE|Koinadugu|2014-11-03,SLE,#8392b5,Koinadugu,,9.588223678,-11.55221977,9.557831945,-11.49294257,2014-11-03,,2014,11,3
66,EBOV|20143716|KR653292|SLE|Moyamba|2014-11-04,SLE,#8392b5,Moyamba,,8.110964229,-12.07306903,8.18165137,-12.12404253,2014-11-04,,2014,11,4
67,EBOV|20143753|KR653236|SLE|Tonkolili|2014-11-05,SLE,#8392b5,Tonkolili,,8.465489914,-12.21193614,8.44019272,-12.16200334,2014-11-05,,2014,11,5
68,EBOV|20143796|KR653257|SLE|Moyamba|2014-11-05,SLE,#8392b5,Moyamba,,8.110964229,-12.07306903,8.064025672,-12.12427924,2014-11-05,,2014,11,5
69,EBOV|20143918|KR653240|SLE|WesternRural|2014-11-06,SLE,#8392b5,WesternRural,,8.44632216,-13.16852491,8.393763301,-13.13465028,2014-11-06,,2014,11,6
70,EBOV|20143938|KR653264|SLE|Koinadugu|2014-11-07,SLE,#8392b5,Koinadugu,,9.588223678,-11.55221977,9.634911471,-11.53296735,2014-11-07,IMPUTED,2014,11,7
71,EBOV|20143964|KR653242|SLE|Bo|2014-11-07,SLE,#8392b5,Bo,,7.958802893,-11.736966,7.902682234,-11.67583799,2014-11-07,,2014,11,7
72,EBOV|20144192|KR653238|SLE|Bombali|2014-11-08,SLE,#8392b5,Bombali,,8.891023958,-12.04188912,8.913804518,-12.11586405,2014-11-08,,2014,11,8
73,EBOV|20144521|KR653271|SLE|Kono|2014-11-12,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.646552367,-10.98207547,2014-11-12,,2014,11,12
74,EBOV|20144610|KR653270|SLE|Tonkolili|2014-11-12,SLE,#8392b5,Tonkolili,,8.465489914,-12.21193614,8.507861051,-12.26707926,2014-11-12,,2014,11,12
75,EBOV|20144819|KR653299|SLE|Moyamba|2014-11-15,SLE,#8392b5,Moyamba,,8.110964229,-12.07306903,8.178975718,-12.1386287,2014-11-15,,2014,11,15
76,EBOV|20144820|KR653243|SLE|Moyamba|2014-11-15,SLE,#8392b5,Moyamba,,8.110964229,-12.07306903,8.171791357,-12.03604929,2014-11-15,,2014,11,15
77,EBOV|20144837|KR653259|SLE|Bombali|2014-11-14,SLE,#8392b5,Bombali,,8.891023958,-12.04188912,8.942477213,-11.98586005,2014-11-14,,2014,11,14
78,EBOV|20144865|KR653231|SLE|PortLoko|2014-11-13,SLE,#8392b5,PortLoko,,8.685188747,-12.53675216,8.733629132,-12.54242305,2014-11-13,,2014,11,13
79,EBOV|20145835|KR653295|SLE|Tonkolili|2014-11-25,SLE,#8392b5,Tonkolili,,8.465489914,-12.21193614,8.519200675,-12.2346757,2014-11-25,,2014,11,25
80,EBOV|20145853|KR653290|SLE|Pujehun|2014-11-26,SLE,#8392b5,Pujehun,,7.355845654,-11.72051726,7.351198125,-11.64692435,2014-11-26,,2014,11,26
81,EBOV|20146001|KR653237|SLE|Kono|2014-11-24,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.600730632,-10.98867084,2014-11-24,,2014,11,24
82,EBOV|20146553|KR653224|SLE|Koinadugu|2014-12-22,SLE,#8392b5,Koinadugu,,9.588223678,-11.55221977,9.558272755,-11.55309323,2014-12-22,,2014,12,22
83,EBOV|20146578|KR653281|SLE|Koinadugu|2014-12-26,SLE,#8392b5,Koinadugu,,9.588223678,-11.55221977,9.577738942,-11.51504167,2014-12-26,,2014,12,26
84,EBOV|Makona-201403147|KP240931|SLE|?|2014-09-13,SLE,#8392b5,Kenema,IMPUTED,7.858614095,-11.18956765,7.846339226,-11.24051419,2014-09-13,,2014,9,13
85,EBOV|Makona-201403261|KP240932|LBR|?|2014-09-26,LBR,#de8461,Margibi,IMPUTED,6.236208888,-10.36348682,6.232915356,-10.38544865,2014-09-26,,2014,9,26
86,EBOV|Makona-GE1|KP728283|SLE|WesternArea|2014-11-21,SLE,#8392b5,WesternRural,IMPUTED,8.44632216,-13.16852491,8.516784724,-13.12638505,2014-11-21,,2014,11,21
87,EBOV|DML12033|KT357813|SLE|WesternUrban|2015-02-19,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.50647222,-13.33669153,2015-02-19,,2015,2,19
88,EBOV|DML12051|KT357814|SLE|WesternUrban|2015-02-21,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.529932941,-13.20500926,2015-02-21,,2015,2,21
89,EBOV|DML12116|KT357815|SLE|WesternUrban|2015-02-26,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.499854212,-13.25873342,2015-02-26,,2015,2,26
90,EBOV|DML12117|KT357816|SLE|WesternUrban|2015-02-26,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.547116723,-13.3038728,2015-02-26,,2015,2,26
91,EBOV|DML12120|KT357817|SLE|WesternUrban|2015-02-27,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.51497932,-13.31004433,2015-02-27,,2015,2,27
92,EBOV|DML12137|KT357819|SLE|WesternUrban|2015-02-28,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.413296871,-13.22153742,2015-02-28,,2015,2,28
93,EBOV|DML12194|KT357818|SLE|WesternUrban|2015-03-04,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.415383994,-13.25115591,2015-03-04,,2015,3,4
94,EBOV|DML12239|KT357820|SLE|WesternUrban|2015-03-09,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.444036007,-13.26039127,2015-03-09,,2015,3,9
95,EBOV|DML12260|KT357821|SLE|WesternUrban|2015-03-09,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.529500488,-13.2321611,2015-03-09,,2015,3,9
96,EBOV|DML12268|KT357822|SLE|WesternUrban|2015-03-10,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.442634831,-13.24638423,2015-03-10,,2015,3,10
97,EBOV|DML12458|KT357823|SLE|WesternUrban|2015-03-28,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.438248578,-13.29995309,2015-03-28,,2015,3,28
98,EBOV|DML12485|KT357824|SLE|WesternUrban|2015-03-31,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.47651023,-13.23129212,2015-03-31,,2015,3,31
99,EBOV|DML13828||SLE|WesternUrban|2015-06-22,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.510463062,-13.33616405,2015-06-22,,2015,6,22
100,EBOV|DML14077|KT357860|SLE|WesternUrban|2015-06-30,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.518722916,-13.19901514,2015-06-30,,2015,6,30
101,EBOV|DML14163|KT357858|SLE|WesternUrban|2015-07-03,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.437521819,-13.23263786,2015-07-03,,2015,7,3
102,EBOV|DML14366|KT357859|SLE|WesternUrban|2015-07-11,SLE,#8392b5,WesternUrban,,8.474419624,-13.26196681,8.545728687,-13.19479324,2015-07-11,,2015,7,11
103,EBOV|DML24502|KT357825|SLE|Kono|2015-01-13,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.701642313,-10.91189779,2015-01-13,,2015,1,13
104,EBOV|DML24504|KT357826|SLE|Kono|2015-01-13,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.639493897,-10.96784839,2015-01-13,,2015,1,13
105,EBOV|DML24506|KT357827|SLE|Kono|2015-01-14,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.603557809,-10.91834984,2015-01-14,,2015,1,14
106,EBOV|DML24511|KT357828|SLE|Kono|2015-01-14,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.68980129,-10.97661282,2015-01-14,,2015,1,14
107,EBOV|DML24552|KT357829|SLE|Kono|2015-01-17,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.579785447,-10.96932944,2015-01-17,,2015,1,17
108,EBOV|DML24553|KT357830|SLE|Kono|2015-01-17,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.592870733,-11.04630803,2015-01-17,,2015,1,17
109,EBOV|DML24573|KT357831|SLE|Kono|2015-01-18,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.640743155,-10.9802434,2015-01-18,,2015,1,18
110,EBOV|DML24581|KT357832|SLE|Kono|2015-01-19,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.647683071,-10.93929649,2015-01-19,,2015,1,19
111,EBOV|DML24592|KT357833|SLE|Kono|2015-01-20,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.57895874,-11.02379761,2015-01-20,,2015,1,20
112,EBOV|DML24601|KT357834|SLE|Kono|2015-01-20,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.630497073,-10.92207202,2015-01-20,,2015,1,20
113,EBOV|DML24604|KT357835|SLE|Kono|2015-01-20,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.671937363,-10.92745578,2015-01-20,,2015,1,20
114,EBOV|DML24605|KT357836|SLE|Kono|2015-01-20,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.64071755,-10.97192569,2015-01-20,,2015,1,20
115,EBOV|DML24606|KT357837|SLE|Kono|2015-01-20,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.60322979,-10.96377493,2015-01-20,,2015,1,20
116,EBOV|DML24608|KT357838|SLE|Kono|2015-01-20,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.635255263,-10.92820955,2015-01-20,,2015,1,20
117,EBOV|DML24611|KT357839|SLE|Kono|2015-01-21,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.719430243,-10.93360166,2015-01-21,,2015,1,21
118,EBOV|DML24620|KT357840|SLE|Kono|2015-01-21,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.651995963,-10.93197652,2015-01-21,,2015,1,21
119,EBOV|DML24669|KT357841|SLE|Kono|2015-01-25,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.677649239,-11.00238658,2015-01-25,,2015,1,25
120,EBOV|DML24677|KT357842|SLE|Kono|2015-01-25,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.699621905,-10.91532029,2015-01-25,,2015,1,25
121,EBOV|DML24683|KT357843|SLE|Kono|2015-01-26,SLE,#8392b5,Kono,,8.64463471,-10.97455967,8.654756576,-10.99184462,2015-01-26,,2015,1,26
